cohort,track,prefix,role,stratum,strict_role,candidate,control,mode,control_mode,metric,paired_inputs,paired_edits,source_images,patients,delta,ci_low,ci_high,input_delta_micro,image_cluster_delta,image_cluster_ci_low,image_cluster_ci_high,leave_one_image_out_min,leave_one_image_out_max,sensitivity_scope,bootstrap_draws,bootstrap_seed
SLAKE_STAGE2_BANK16,B,1,evaluation,H,STRICT_BASE,W0,W0,RC,R0,semantic,2,1,2,UNKNOWN,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,U,STRICT_BASE,W0,W0,RC,R0,base_correct_damage,7,1,7,UNKNOWN,-0.2857142857142857,,,-0.2857142857142857,-0.2857142857142857,-0.5749999999999967,0.0,-0.3333333333333333,-0.16666666666666666,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,U,STRICT_BASE,W0,W0,RC,R0,base_wrong_became_correct,5,1,5,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,U,STRICT_BASE,W0,W0,RC,R0,base_wrong_changed,5,1,5,UNKNOWN,-0.39999999999999997,,,-0.4,-0.4,-0.8,0.0,-0.5,-0.25,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,U,STRICT_BASE,W0,W0,RC,R0,fpr,12,1,12,UNKNOWN,-0.75,,,-0.75,-0.75,-1.0,-0.5,-0.8181818181818182,-0.7272727272727273,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,U,STRICT_BASE,W01,W01,RC,R0,semantic,12,1,12,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,U,STRICT_BASE,W01,W01,RC,R0,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,U,STRICT_BASE,W01,W01,RC,R0,base_correct_damage,7,1,7,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,U,STRICT_BASE,W01,W01,RC,R0,base_wrong_became_correct,5,1,5,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,U,STRICT_BASE,W01,W01,RC,R0,base_wrong_changed,5,1,5,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,U,STRICT_BASE,W01,W01,RC,R0,fpr,12,1,12,UNKNOWN,-0.75,,,-0.75,-0.75,-1.0,-0.5,-0.8181818181818182,-0.7272727272727273,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,U,STRICT_BASE,W1,W1,RC,R0,semantic,12,1,12,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,U,STRICT_BASE,W1,W1,RC,R0,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,U,STRICT_BASE,W1,W1,RC,R0,base_correct_damage,7,1,7,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,U,STRICT_BASE,W1,W1,RC,R0,base_wrong_became_correct,5,1,5,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,U,STRICT_BASE,W1,W1,RC,R0,base_wrong_changed,5,1,5,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,U,STRICT_BASE,W1,W1,RC,R0,fpr,12,1,12,UNKNOWN,-0.75,,,-0.75,-0.75,-1.0,-0.5,-0.8181818181818182,-0.7272727272727273,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,cross_family_confirmation,EDIT_TARGET,W0,W0,RC,R0,semantic,2,1,1,UNKNOWN,0.0,,,0.0,0.0,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,cross_family_confirmation,EDIT_TARGET,W0,W0,RC,R0,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,cross_family_confirmation,EDIT_TARGET,W0,W0,RC,R0,base_correct_damage,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,cross_family_confirmation,EDIT_TARGET,W0,W0,RC,R0,base_wrong_became_correct,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,cross_family_confirmation,EDIT_TARGET,W0,W0,RC,R0,base_wrong_changed,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,cross_family_confirmation,EDIT_TARGET,W0,W0,RC,R0,fpr,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,cross_family_confirmation,EDIT_TARGET,W01,W01,RC,R0,semantic,2,1,1,UNKNOWN,0.0,,,0.0,0.0,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,cross_family_confirmation,EDIT_TARGET,W01,W01,RC,R0,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,cross_family_confirmation,EDIT_TARGET,W01,W01,RC,R0,base_correct_damage,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,cross_family_confirmation,EDIT_TARGET,W01,W01,RC,R0,base_wrong_became_correct,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,cross_family_confirmation,EDIT_TARGET,W01,W01,RC,R0,base_wrong_changed,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,cross_family_confirmation,EDIT_TARGET,W01,W01,RC,R0,fpr,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,cross_family_confirmation,EDIT_TARGET,W1,W1,RC,R0,semantic,2,1,1,UNKNOWN,0.0,,,0.0,0.0,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,cross_family_confirmation,EDIT_TARGET,W1,W1,RC,R0,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,cross_family_confirmation,EDIT_TARGET,W1,W1,RC,R0,base_correct_damage,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,cross_family_confirmation,EDIT_TARGET,W1,W1,RC,R0,base_wrong_became_correct,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,cross_family_confirmation,EDIT_TARGET,W1,W1,RC,R0,base_wrong_changed,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,cross_family_confirmation,EDIT_TARGET,W1,W1,RC,R0,fpr,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,source_style_confirmation,EDIT_TARGET,W0,W0,RC,R0,semantic,2,1,1,UNKNOWN,0.0,,,0.0,0.0,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,source_style_confirmation,EDIT_TARGET,W0,W0,RC,R0,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,source_style_confirmation,EDIT_TARGET,W0,W0,RC,R0,base_correct_damage,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,source_style_confirmation,EDIT_TARGET,W0,W0,RC,R0,base_wrong_became_correct,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,source_style_confirmation,EDIT_TARGET,W0,W0,RC,R0,base_wrong_changed,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,source_style_confirmation,EDIT_TARGET,W0,W0,RC,R0,fpr,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,source_style_confirmation,EDIT_TARGET,W01,W01,RC,R0,semantic,2,1,1,UNKNOWN,0.0,,,0.0,0.0,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,source_style_confirmation,EDIT_TARGET,W01,W01,RC,R0,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,source_style_confirmation,EDIT_TARGET,W01,W01,RC,R0,base_correct_damage,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,source_style_confirmation,EDIT_TARGET,W01,W01,RC,R0,base_wrong_became_correct,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,source_style_confirmation,EDIT_TARGET,W01,W01,RC,R0,base_wrong_changed,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,source_style_confirmation,EDIT_TARGET,W01,W01,RC,R0,fpr,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,source_style_confirmation,EDIT_TARGET,W1,W1,RC,R0,semantic,2,1,1,UNKNOWN,0.0,,,0.0,0.0,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,source_style_confirmation,EDIT_TARGET,W1,W1,RC,R0,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,source_style_confirmation,EDIT_TARGET,W1,W1,RC,R0,base_correct_damage,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,source_style_confirmation,EDIT_TARGET,W1,W1,RC,R0,base_wrong_became_correct,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,source_style_confirmation,EDIT_TARGET,W1,W1,RC,R0,base_wrong_changed,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,evaluation,source_style_confirmation,EDIT_TARGET,W1,W1,RC,R0,fpr,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,native,T0,EDIT_TARGET,W0,W0,RC,R0,semantic,1,1,1,UNKNOWN,0.0,,,0.0,0.0,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,native,T0,EDIT_TARGET,W0,W0,RC,R0,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,native,T0,EDIT_TARGET,W0,W0,RC,R0,base_correct_damage,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,native,T0,EDIT_TARGET,W0,W0,RC,R0,base_wrong_became_correct,1,1,1,UNKNOWN,0.0,,,0.0,0.0,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,native,T0,EDIT_TARGET,W0,W0,RC,R0,base_wrong_changed,1,1,1,UNKNOWN,0.0,,,0.0,0.0,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,native,T0,EDIT_TARGET,W0,W0,RC,R0,fpr,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,native,T0,EDIT_TARGET,W01,W01,RC,R0,semantic,1,1,1,UNKNOWN,0.0,,,0.0,0.0,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,native,T0,EDIT_TARGET,W01,W01,RC,R0,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,native,T0,EDIT_TARGET,W01,W01,RC,R0,base_correct_damage,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,native,T0,EDIT_TARGET,W01,W01,RC,R0,base_wrong_became_correct,1,1,1,UNKNOWN,0.0,,,0.0,0.0,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,native,T0,EDIT_TARGET,W01,W01,RC,R0,base_wrong_changed,1,1,1,UNKNOWN,0.0,,,0.0,0.0,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,native,T0,EDIT_TARGET,W01,W01,RC,R0,fpr,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,native,T0,EDIT_TARGET,W1,W1,RC,R0,semantic,1,1,1,UNKNOWN,0.0,,,0.0,0.0,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,native,T0,EDIT_TARGET,W1,W1,RC,R0,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,native,T0,EDIT_TARGET,W1,W1,RC,R0,base_correct_damage,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,native,T0,EDIT_TARGET,W1,W1,RC,R0,base_wrong_became_correct,1,1,1,UNKNOWN,0.0,,,0.0,0.0,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,native,T0,EDIT_TARGET,W1,W1,RC,R0,base_wrong_changed,1,1,1,UNKNOWN,0.0,,,0.0,0.0,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,1,native,T0,EDIT_TARGET,W1,W1,RC,R0,fpr,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,H,STRICT_BASE,W0,W0,RC,R0,semantic,6,4,4,UNKNOWN,0.5,0.0,1.0,0.3333333333333333,0.25,0.0,0.5,0.3333333333333333,0.5,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,H,STRICT_BASE,W0,W0,RC,R0,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,H,STRICT_BASE,W0,W0,RC,R0,base_correct_damage,5,4,3,UNKNOWN,-0.5,-1.0,0.0,-0.4,-0.3333333333333333,-0.5,0.0,-0.5,-0.3333333333333333,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,H,STRICT_BASE,W0,W0,RC,R0,base_wrong_became_correct,1,1,1,UNKNOWN,0.0,,,0.0,0.0,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,H,STRICT_BASE,W0,W0,RC,R0,base_wrong_changed,1,1,1,UNKNOWN,0.0,,,0.0,0.0,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,H,STRICT_BASE,W0,W0,RC,R0,fpr,6,4,4,UNKNOWN,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,H,STRICT_BASE,W01,W01,RC,R0,semantic,6,4,4,UNKNOWN,0.5,0.0,1.0,0.3333333333333333,0.25,0.0,0.5,0.3333333333333333,0.5,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,H,STRICT_BASE,W01,W01,RC,R0,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,H,STRICT_BASE,W01,W01,RC,R0,base_correct_damage,5,4,3,UNKNOWN,-0.5,-1.0,0.0,-0.4,-0.3333333333333333,-0.5,0.0,-0.5,-0.3333333333333333,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,H,STRICT_BASE,W01,W01,RC,R0,base_wrong_became_correct,1,1,1,UNKNOWN,0.0,,,0.0,0.0,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,H,STRICT_BASE,W01,W01,RC,R0,base_wrong_changed,1,1,1,UNKNOWN,0.0,,,0.0,0.0,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,H,STRICT_BASE,W01,W01,RC,R0,fpr,6,4,4,UNKNOWN,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,H,STRICT_BASE,W1,W1,RC,R0,semantic,6,4,4,UNKNOWN,0.5,0.0,1.0,0.3333333333333333,0.25,0.0,0.5,0.3333333333333333,0.5,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,H,STRICT_BASE,W1,W1,RC,R0,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,H,STRICT_BASE,W1,W1,RC,R0,base_correct_damage,5,4,3,UNKNOWN,-0.5,-1.0,0.0,-0.4,-0.3333333333333333,-0.5,0.0,-0.5,-0.3333333333333333,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,H,STRICT_BASE,W1,W1,RC,R0,base_wrong_became_correct,1,1,1,UNKNOWN,0.0,,,0.0,0.0,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,H,STRICT_BASE,W1,W1,RC,R0,base_wrong_changed,1,1,1,UNKNOWN,0.0,,,0.0,0.0,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,H,STRICT_BASE,W1,W1,RC,R0,fpr,6,4,4,UNKNOWN,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,U,STRICT_BASE,W0,W0,RC,R0,semantic,50,4,31,UNKNOWN,0.3173076923076923,0.25000000000000006,0.40865384615384615,0.32,0.3118279569892473,0.15591397849462368,0.4838709677419355,0.2575757575757575,0.361013986013986,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,U,STRICT_BASE,W0,W0,RC,R0,v4_primary,0,0,0,UNKNOWN,,,,,,,,,,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,U,STRICT_BASE,W0,W0,RC,R0,base_correct_damage,32,4,22,UNKNOWN,-0.5277777777777778,-0.6190476190476191,-0.43650793650793646,-0.53125,-0.5,-0.7272727272727273,-0.2727272727272727,-0.5863095238095238,-0.4583333333333333,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,U,STRICT_BASE,W0,W0,RC,R0,base_wrong_became_correct,18,4,12,UNKNOWN,-0.05,-0.15000000000000002,0.0,-0.05555555555555555,-0.08333333333333333,-0.25,0.0,-0.0625,0.0,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,U,STRICT_BASE,W0,W0,RC,R0,base_wrong_changed,18,4,12,UNKNOWN,-0.55,-0.6000000000000001,-0.5,-0.5555555555555556,-0.625,-0.875,-0.3333333333333333,-0.6291666666666667,-0.48333333333333334,shared probe-source image; not independent patient proof,10000,20260908
SLAKE_STAGE2_BANK16,B,4,evaluation,U,STRICT_BASE,W0,W0,RC,R0,fpr,50,4,31,UNKNOWN,-0.9182692307692308,-0.9791666666666666,-0.8557692307692308,-0.92,-0.9032258064516129,-1.0,-0.7741935483870968,-0.9583333333333334,-0.9109848484848485,shared probe-source image; not independent patient proof,10000,20260908
