event_index,seed,operating_point,panel,category,n,gain,loss,same_on,same_off
2,20260907,PRIMARY_SAFETY_FIRST,original,broad_unrelated_source_qa,15,0,0,0,15
2,20260907,PRIMARY_SAFETY_FIRST,original,evaluation_positive,4,0,0,4,0
2,20260907,PRIMARY_SAFETY_FIRST,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
2,20260907,SECONDARY_COVERAGE90,matched,matched_hard_image,20,0,0,0,20
2,20260907,SECONDARY_COVERAGE90,matched,matched_evaluation_positive,4,0,1,3,0
2,20260907,SECONDARY_COVERAGE90,original,formal_T2G,4,0,0,1,3
2,20260907,SECONDARY_COVERAGE90,original,formal_T1G,4,0,0,0,4
2,20260907,SECONDARY_COVERAGE90,original,native,1,0,0,1,0
2,20260907,SECONDARY_COVERAGE90,original,same_image_other_source_fact,2,0,0,0,2
2,20260907,SECONDARY_COVERAGE90,original,same_question_different_image_conflicting_source_answer,5,0,0,0,5
2,20260907,SECONDARY_COVERAGE90,original,broad_unrelated_source_qa,15,0,0,0,15
2,20260907,SECONDARY_COVERAGE90,original,evaluation_positive,4,0,0,4,0
2,20260907,SECONDARY_COVERAGE90,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
3,20260907,PRIMARY_SAFETY_FIRST,matched,matched_hard_image,20,0,4,0,16
3,20260907,PRIMARY_SAFETY_FIRST,matched,matched_evaluation_positive,4,4,0,0,0
3,20260907,PRIMARY_SAFETY_FIRST,original,formal_T1G,4,4,0,0,0
3,20260907,PRIMARY_SAFETY_FIRST,original,formal_T2G,3,1,0,2,0
3,20260907,PRIMARY_SAFETY_FIRST,original,formal_T1L,5,3,2,0,0
3,20260907,PRIMARY_SAFETY_FIRST,original,native,1,1,0,0,0
3,20260907,PRIMARY_SAFETY_FIRST,original,broad_unrelated_source_qa,15,0,0,0,15
3,20260907,PRIMARY_SAFETY_FIRST,original,same_question_different_image_conflicting_source_answer,5,0,1,0,4
3,20260907,PRIMARY_SAFETY_FIRST,original,evaluation_positive,4,0,0,4,0
3,20260907,PRIMARY_SAFETY_FIRST,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
3,20260907,SECONDARY_COVERAGE90,matched,matched_hard_image,20,5,0,4,11
3,20260907,SECONDARY_COVERAGE90,matched,matched_evaluation_positive,4,0,0,4,0
3,20260907,SECONDARY_COVERAGE90,original,formal_T1G,4,4,0,0,0
3,20260907,SECONDARY_COVERAGE90,original,formal_T2G,3,1,0,2,0
3,20260907,SECONDARY_COVERAGE90,original,formal_T1L,5,3,2,0,0
3,20260907,SECONDARY_COVERAGE90,original,native,1,1,0,0,0
3,20260907,SECONDARY_COVERAGE90,original,broad_unrelated_source_qa,15,0,0,0,15
3,20260907,SECONDARY_COVERAGE90,original,same_question_different_image_conflicting_source_answer,5,0,1,0,4
3,20260907,SECONDARY_COVERAGE90,original,evaluation_positive,4,0,0,4,0
3,20260907,SECONDARY_COVERAGE90,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
7,20260907,PRIMARY_SAFETY_FIRST,matched,matched_hard_image,8,0,0,0,8
7,20260907,PRIMARY_SAFETY_FIRST,matched,matched_evaluation_positive,4,1,0,2,1
7,20260907,PRIMARY_SAFETY_FIRST,original,formal_T1G,4,3,0,0,1
7,20260907,PRIMARY_SAFETY_FIRST,original,formal_T2G,4,0,0,0,4
7,20260907,PRIMARY_SAFETY_FIRST,original,native,1,1,0,0,0
7,20260907,PRIMARY_SAFETY_FIRST,original,same_image_other_source_fact,12,0,0,0,12
7,20260907,PRIMARY_SAFETY_FIRST,original,broad_unrelated_source_qa,18,0,0,0,18
7,20260907,PRIMARY_SAFETY_FIRST,original,same_question_different_image_conflicting_source_answer,2,0,0,0,2
7,20260907,PRIMARY_SAFETY_FIRST,original,evaluation_positive,4,3,0,0,1
7,20260907,PRIMARY_SAFETY_FIRST,original,reviewed_same_fact_text_augmentation,4,0,4,0,0
7,20260907,SECONDARY_COVERAGE90,matched,matched_hard_image,8,3,0,0,5
7,20260907,SECONDARY_COVERAGE90,matched,matched_evaluation_positive,4,0,1,3,0
7,20260907,SECONDARY_COVERAGE90,original,formal_T1G,4,0,0,3,1
7,20260907,SECONDARY_COVERAGE90,original,formal_T2G,4,0,1,0,3
7,20260907,SECONDARY_COVERAGE90,original,native,1,0,0,1,0
7,20260907,SECONDARY_COVERAGE90,original,same_image_other_source_fact,12,0,0,0,12
7,20260907,SECONDARY_COVERAGE90,original,broad_unrelated_source_qa,18,0,0,0,18
7,20260907,SECONDARY_COVERAGE90,original,same_question_different_image_conflicting_source_answer,2,0,0,0,2
7,20260907,SECONDARY_COVERAGE90,original,evaluation_positive,4,0,0,3,1
7,20260907,SECONDARY_COVERAGE90,original,reviewed_same_fact_text_augmentation,4,0,4,0,0
13,20260907,PRIMARY_SAFETY_FIRST,matched,matched_hard_image,4,1,0,0,3
13,20260907,PRIMARY_SAFETY_FIRST,matched,matched_evaluation_positive,4,1,0,1,2
13,20260907,PRIMARY_SAFETY_FIRST,original,formal_T2G,4,1,0,0,3
13,20260907,PRIMARY_SAFETY_FIRST,original,formal_T1G,4,4,0,0,0
13,20260907,PRIMARY_SAFETY_FIRST,original,native,1,1,0,0,0
13,20260907,PRIMARY_SAFETY_FIRST,original,same_question_different_image_conflicting_source_answer,1,0,0,0,1
13,20260907,PRIMARY_SAFETY_FIRST,original,broad_unrelated_source_qa,19,0,0,0,19
13,20260907,PRIMARY_SAFETY_FIRST,original,evaluation_positive,4,1,0,3,0
13,20260907,PRIMARY_SAFETY_FIRST,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
13,20260907,SECONDARY_COVERAGE90,matched,matched_hard_image,4,3,0,0,1
13,20260907,SECONDARY_COVERAGE90,matched,matched_evaluation_positive,4,0,1,2,1
13,20260907,SECONDARY_COVERAGE90,original,formal_T2G,4,1,0,0,3
13,20260907,SECONDARY_COVERAGE90,original,formal_T1G,4,4,0,0,0
13,20260907,SECONDARY_COVERAGE90,original,native,1,1,0,0,0
13,20260907,SECONDARY_COVERAGE90,original,same_question_different_image_conflicting_source_answer,1,0,0,0,1
13,20260907,SECONDARY_COVERAGE90,original,broad_unrelated_source_qa,19,0,0,0,19
13,20260907,SECONDARY_COVERAGE90,original,evaluation_positive,4,1,0,3,0
13,20260907,SECONDARY_COVERAGE90,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
15,20260907,PRIMARY_SAFETY_FIRST,matched,matched_hard_image,20,0,0,0,20
15,20260907,PRIMARY_SAFETY_FIRST,matched,matched_evaluation_positive,4,0,0,3,1
15,20260907,PRIMARY_SAFETY_FIRST,original,formal_T1G,2,0,2,0,0
15,20260907,PRIMARY_SAFETY_FIRST,original,formal_T1L,5,0,3,0,2
15,20260907,PRIMARY_SAFETY_FIRST,original,formal_T2G,4,3,0,0,1
15,20260907,PRIMARY_SAFETY_FIRST,original,native,1,0,0,1,0
15,20260907,PRIMARY_SAFETY_FIRST,original,same_question_different_image_conflicting_source_answer,5,1,0,0,4
15,20260907,PRIMARY_SAFETY_FIRST,original,broad_unrelated_source_qa,15,0,1,0,14
15,20260907,PRIMARY_SAFETY_FIRST,original,evaluation_positive,4,0,1,3,0
15,20260907,PRIMARY_SAFETY_FIRST,original,reviewed_same_fact_text_augmentation,4,0,2,2,0
15,20260907,SECONDARY_COVERAGE90,matched,matched_hard_image,20,9,0,0,11
15,20260907,SECONDARY_COVERAGE90,matched,matched_evaluation_positive,4,0,1,3,0
15,20260907,SECONDARY_COVERAGE90,original,formal_T1G,2,0,2,0,0
15,20260907,SECONDARY_COVERAGE90,original,formal_T1L,5,0,3,0,2
15,20260907,SECONDARY_COVERAGE90,original,formal_T2G,4,3,0,0,1
15,20260907,SECONDARY_COVERAGE90,original,native,1,0,0,1,0
15,20260907,SECONDARY_COVERAGE90,original,same_question_different_image_conflicting_source_answer,5,1,0,0,4
15,20260907,SECONDARY_COVERAGE90,original,broad_unrelated_source_qa,15,0,1,0,14
15,20260907,SECONDARY_COVERAGE90,original,evaluation_positive,4,0,1,3,0
15,20260907,SECONDARY_COVERAGE90,original,reviewed_same_fact_text_augmentation,4,0,2,2,0
16,20260907,PRIMARY_SAFETY_FIRST,matched,matched_hard_image,20,0,4,0,16
16,20260907,PRIMARY_SAFETY_FIRST,matched,matched_evaluation_positive,4,0,1,3,0
16,20260907,PRIMARY_SAFETY_FIRST,original,formal_T1G,4,0,0,0,4
16,20260907,PRIMARY_SAFETY_FIRST,original,formal_T1L,5,0,0,0,5
16,20260907,PRIMARY_SAFETY_FIRST,original,formal_T2G,4,0,0,2,2
16,20260907,PRIMARY_SAFETY_FIRST,original,native,1,0,0,1,0
16,20260907,PRIMARY_SAFETY_FIRST,original,same_question_different_image_conflicting_source_answer,5,0,1,0,4
16,20260907,PRIMARY_SAFETY_FIRST,original,broad_unrelated_source_qa,15,0,0,0,15
16,20260907,PRIMARY_SAFETY_FIRST,original,evaluation_positive,4,0,0,4,0
16,20260907,PRIMARY_SAFETY_FIRST,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
16,20260907,SECONDARY_COVERAGE90,matched,matched_hard_image,20,0,4,0,16
16,20260907,SECONDARY_COVERAGE90,matched,matched_evaluation_positive,4,0,1,3,0
16,20260907,SECONDARY_COVERAGE90,original,formal_T1G,4,0,0,0,4
16,20260907,SECONDARY_COVERAGE90,original,formal_T1L,5,0,0,0,5
16,20260907,SECONDARY_COVERAGE90,original,formal_T2G,4,0,0,2,2
16,20260907,SECONDARY_COVERAGE90,original,native,1,0,0,1,0
16,20260907,SECONDARY_COVERAGE90,original,same_question_different_image_conflicting_source_answer,5,0,1,0,4
16,20260907,SECONDARY_COVERAGE90,original,broad_unrelated_source_qa,15,0,0,0,15
16,20260907,SECONDARY_COVERAGE90,original,evaluation_positive,4,0,0,4,0
16,20260907,SECONDARY_COVERAGE90,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
1,20260908,PRIMARY_SAFETY_FIRST,matched,matched_hard_image,20,0,8,0,12
1,20260908,PRIMARY_SAFETY_FIRST,matched,matched_evaluation_positive,4,3,0,1,0
1,20260908,PRIMARY_SAFETY_FIRST,original,formal_T2G,3,2,0,1,0
1,20260908,PRIMARY_SAFETY_FIRST,original,formal_T1G,4,0,0,4,0
1,20260908,PRIMARY_SAFETY_FIRST,original,native,1,0,0,1,0
1,20260908,PRIMARY_SAFETY_FIRST,original,same_image_other_source_fact,12,0,1,0,11
1,20260908,PRIMARY_SAFETY_FIRST,original,broad_unrelated_source_qa,15,0,0,0,15
1,20260908,PRIMARY_SAFETY_FIRST,original,same_question_different_image_conflicting_source_answer,5,1,0,0,4
1,20260908,PRIMARY_SAFETY_FIRST,original,evaluation_positive,4,1,0,3,0
1,20260908,PRIMARY_SAFETY_FIRST,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
1,20260908,SECONDARY_COVERAGE90,matched,matched_hard_image,20,2,1,9,8
1,20260908,SECONDARY_COVERAGE90,matched,matched_evaluation_positive,4,0,0,4,0
1,20260908,SECONDARY_COVERAGE90,original,formal_T2G,3,2,0,1,0
1,20260908,SECONDARY_COVERAGE90,original,formal_T1G,4,0,0,4,0
1,20260908,SECONDARY_COVERAGE90,original,native,1,0,0,1,0
1,20260908,SECONDARY_COVERAGE90,original,same_image_other_source_fact,12,0,1,0,11
1,20260908,SECONDARY_COVERAGE90,original,broad_unrelated_source_qa,15,0,0,0,15
1,20260908,SECONDARY_COVERAGE90,original,same_question_different_image_conflicting_source_answer,5,1,0,0,4
1,20260908,SECONDARY_COVERAGE90,original,evaluation_positive,4,1,0,3,0
1,20260908,SECONDARY_COVERAGE90,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
2,20260908,PRIMARY_SAFETY_FIRST,matched,matched_hard_image,20,4,0,0,16
2,20260908,PRIMARY_SAFETY_FIRST,matched,matched_evaluation_positive,4,0,1,3,0
2,20260908,PRIMARY_SAFETY_FIRST,original,formal_T2G,4,1,0,3,0
2,20260908,PRIMARY_SAFETY_FIRST,original,formal_T1G,4,0,0,1,3
2,20260908,PRIMARY_SAFETY_FIRST,original,native,1,0,0,1,0
2,20260908,PRIMARY_SAFETY_FIRST,original,same_image_other_source_fact,2,0,0,0,2
2,20260908,PRIMARY_SAFETY_FIRST,original,same_question_different_image_conflicting_source_answer,5,1,0,0,4
2,20260908,PRIMARY_SAFETY_FIRST,original,broad_unrelated_source_qa,15,0,1,0,14
2,20260908,PRIMARY_SAFETY_FIRST,original,evaluation_positive,4,0,0,4,0
2,20260908,PRIMARY_SAFETY_FIRST,original,reviewed_same_fact_text_augmentation,4,0,0,4,0
2,20260908,SECONDARY_COVERAGE90,matched,matched_hard_image,20,4,0,0,16
2,20260908,SECONDARY_COVERAGE90,matched,matched_evaluation_positive,4,0,1,3,0
2,20260908,SECONDARY_COVERAGE90,original,formal_T2G,4,1,0,3,0
2,20260908,SECONDARY_COVERAGE90,original,formal_T1G,4,0,0,1,3
2,20260908,SECONDARY_COVERAGE90,original,native,1,0,0,1,0
