probe,edit,condition,semantic,first_token_divergence,activation_perp_ratio,effective_perturbation,logit_margin,na_reason
0,27,B0,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
10,66,B0,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
10,66,B1,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
10,66,B2,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
10,66,B3,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
11,143,B0,0.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
11,143,B1,0.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
11,143,B2,0.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
11,143,B3,0.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
12,143,B0,0.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
12,143,B1,0.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
12,143,B2,0.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
12,143,B3,1.0,0,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
13,143,B0,0.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
13,143,B1,0.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
13,143,B2,0.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
13,143,B3,0.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
14,143,B0,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
14,143,B1,0.0,0,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
14,143,B2,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
14,143,B3,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
15,168,B0,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
15,168,B1,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
15,168,B2,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
15,168,B3,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
16,168,B0,0.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
16,168,B1,1.0,0,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
16,168,B2,0.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
16,168,B3,0.0,13,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
17,168,B0,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
17,168,B1,0.0,0,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
17,168,B2,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
17,168,B3,0.0,0,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
18,168,B0,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
18,168,B1,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
18,168,B2,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
18,168,B3,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
19,172,B0,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
19,172,B1,0.0,0,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
19,172,B2,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
19,172,B3,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
20,172,B0,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
20,172,B1,0.0,0,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
20,172,B2,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
20,172,B3,0.0,0,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
21,172,B0,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
21,172,B1,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
21,172,B2,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
21,172,B3,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
22,172,B0,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
22,172,B1,1.0,0,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
22,172,B2,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
22,172,B3,1.0,,NA,NA,NA,Stage7 cached fit trajectories only; no common-prefix evaluation activations/logits; no extra diagnostic GPU replay
