method,edit,first_prefix,last_prefix,stratum,metric,paired_inputs,change
BE,106,8,16,cross_family_confirmation,semantic,2,0.0
BE,106,8,16,source_style_confirmation,joint_on_correct,2,0.0
BE,106,8,16,source_style_confirmation,original_reference_correct,2,0.0
BE,106,8,16,source_style_confirmation,semantic,2,0.0
BE,107,8,16,H,joint_on_correct,1,0.0
BE,107,8,16,H,original_reference_correct,1,0.0
BE,107,8,16,H,semantic,1,0.0
BE,107,8,16,T0,joint_on_correct,1,0.0
BE,107,8,16,T0,original_reference_correct,1,0.0
BE,107,8,16,T0,semantic,1,0.0
BE,107,8,16,U,joint_on_correct,13,-0.07692307692307693
BE,107,8,16,U,original_reference_correct,13,-0.23076923076923078
BE,107,8,16,U,semantic,13,-0.23076923076923078
BE,107,8,16,cross_family_confirmation,joint_on_correct,2,0.0
BE,107,8,16,cross_family_confirmation,original_reference_correct,2,0.0
BE,107,8,16,cross_family_confirmation,semantic,2,0.0
BE,107,8,16,source_style_confirmation,joint_on_correct,2,0.0
BE,107,8,16,source_style_confirmation,original_reference_correct,2,0.0
BE,107,8,16,source_style_confirmation,semantic,2,0.0
BE,108,8,16,H,joint_on_correct,2,0.0
BE,108,8,16,H,original_reference_correct,2,0.0
BE,108,8,16,H,semantic,2,0.0
BE,108,8,16,T0,joint_on_correct,1,0.0
BE,108,8,16,T0,original_reference_correct,1,0.0
BE,108,8,16,T0,semantic,1,0.0
BE,108,8,16,U,joint_on_correct,12,-0.08333333333333333
BE,108,8,16,U,original_reference_correct,12,-0.08333333333333333
BE,108,8,16,U,semantic,12,-0.08333333333333333
BE,108,8,16,cross_family_confirmation,joint_on_correct,2,0.0
BE,108,8,16,cross_family_confirmation,original_reference_correct,2,0.0
BE,108,8,16,cross_family_confirmation,semantic,2,0.0
BE,108,8,16,source_style_confirmation,joint_on_correct,2,0.0
BE,108,8,16,source_style_confirmation,original_reference_correct,2,0.0
BE,108,8,16,source_style_confirmation,semantic,2,0.0
BE,109,16,16,H,joint_on_correct,1,0.0
BE,109,16,16,H,original_reference_correct,1,0.0
BE,109,16,16,H,semantic,1,0.0
BE,109,16,16,T0,joint_on_correct,1,0.0
BE,109,16,16,T0,original_reference_correct,1,0.0
BE,109,16,16,T0,semantic,1,0.0
BE,109,16,16,U,joint_on_correct,13,0.0
BE,109,16,16,U,original_reference_correct,13,0.0
BE,109,16,16,U,semantic,13,0.0
BE,109,16,16,cross_family_confirmation,joint_on_correct,2,0.0
BE,109,16,16,cross_family_confirmation,original_reference_correct,2,0.0
BE,109,16,16,cross_family_confirmation,semantic,2,0.0
BE,109,16,16,source_style_confirmation,joint_on_correct,2,0.0
BE,109,16,16,source_style_confirmation,original_reference_correct,2,0.0
BE,109,16,16,source_style_confirmation,semantic,2,0.0
BE,110,16,16,H,joint_on_correct,1,0.0
BE,110,16,16,H,original_reference_correct,1,0.0
BE,110,16,16,H,semantic,1,0.0
BE,110,16,16,T0,joint_on_correct,1,0.0
BE,110,16,16,T0,original_reference_correct,1,0.0
BE,110,16,16,T0,semantic,1,0.0
BE,110,16,16,U,joint_on_correct,13,0.0
BE,110,16,16,U,original_reference_correct,13,0.0
BE,110,16,16,U,semantic,13,0.0
BE,110,16,16,cross_family_confirmation,joint_on_correct,2,0.0
BE,110,16,16,cross_family_confirmation,original_reference_correct,2,0.0
BE,110,16,16,cross_family_confirmation,semantic,2,0.0
BE,110,16,16,source_style_confirmation,joint_on_correct,2,0.0
BE,110,16,16,source_style_confirmation,original_reference_correct,2,0.0
BE,110,16,16,source_style_confirmation,semantic,2,0.0
BE,111,16,16,H,joint_on_correct,1,0.0
BE,111,16,16,H,original_reference_correct,1,0.0
BE,111,16,16,H,semantic,1,0.0
BE,111,16,16,T0,joint_on_correct,1,0.0
BE,111,16,16,T0,original_reference_correct,1,0.0
BE,111,16,16,T0,semantic,1,0.0
BE,111,16,16,U,joint_on_correct,13,0.0
BE,111,16,16,U,original_reference_correct,13,0.0
BE,111,16,16,U,semantic,13,0.0
BE,111,16,16,cross_family_confirmation,joint_on_correct,2,0.0
BE,111,16,16,cross_family_confirmation,original_reference_correct,2,0.0
BE,111,16,16,cross_family_confirmation,semantic,2,0.0
BE,111,16,16,source_style_confirmation,joint_on_correct,2,0.0
BE,111,16,16,source_style_confirmation,original_reference_correct,2,0.0
BE,111,16,16,source_style_confirmation,semantic,2,0.0
BE,112,16,16,H,joint_on_correct,1,0.0
BE,112,16,16,H,original_reference_correct,1,0.0
BE,112,16,16,H,semantic,1,0.0
BE,112,16,16,T0,joint_on_correct,1,0.0
BE,112,16,16,T0,original_reference_correct,1,0.0
BE,112,16,16,T0,semantic,1,0.0
BE,112,16,16,U,joint_on_correct,13,0.0
BE,112,16,16,U,original_reference_correct,13,0.0
BE,112,16,16,U,semantic,13,0.0
BE,112,16,16,cross_family_confirmation,joint_on_correct,2,0.0
BE,112,16,16,cross_family_confirmation,original_reference_correct,2,0.0
BE,112,16,16,cross_family_confirmation,semantic,2,0.0
BE,112,16,16,source_style_confirmation,joint_on_correct,2,0.0
BE,112,16,16,source_style_confirmation,original_reference_correct,2,0.0
BE,112,16,16,source_style_confirmation,semantic,2,0.0
BE,113,16,16,H,joint_on_correct,1,0.0
BE,113,16,16,H,original_reference_correct,1,0.0
BE,113,16,16,H,semantic,1,0.0
BE,113,16,16,T0,joint_on_correct,1,0.0
BE,113,16,16,T0,original_reference_correct,1,0.0
BE,113,16,16,T0,semantic,1,0.0
BE,113,16,16,U,joint_on_correct,13,0.0
BE,113,16,16,U,original_reference_correct,13,0.0
BE,113,16,16,U,semantic,13,0.0
BE,113,16,16,cross_family_confirmation,joint_on_correct,2,0.0
BE,113,16,16,cross_family_confirmation,original_reference_correct,2,0.0
BE,113,16,16,cross_family_confirmation,semantic,2,0.0
BE,113,16,16,source_style_confirmation,joint_on_correct,2,0.0
BE,113,16,16,source_style_confirmation,original_reference_correct,2,0.0
BE,113,16,16,source_style_confirmation,semantic,2,0.0
BE,114,16,16,T0,joint_on_correct,1,0.0
BE,114,16,16,T0,original_reference_correct,1,0.0
BE,114,16,16,T0,semantic,1,0.0
BE,114,16,16,U,joint_on_correct,14,0.0
BE,114,16,16,U,original_reference_correct,14,0.0
BE,114,16,16,U,semantic,14,0.0
BE,114,16,16,cross_family_confirmation,joint_on_correct,2,0.0
BE,114,16,16,cross_family_confirmation,original_reference_correct,2,0.0
BE,114,16,16,cross_family_confirmation,semantic,2,0.0
BE,114,16,16,source_style_confirmation,joint_on_correct,2,0.0
BE,114,16,16,source_style_confirmation,original_reference_correct,2,0.0
BE,114,16,16,source_style_confirmation,semantic,2,0.0
BE,115,16,16,H,joint_on_correct,1,0.0
BE,115,16,16,H,original_reference_correct,1,0.0
BE,115,16,16,H,semantic,1,0.0
BE,115,16,16,T0,joint_on_correct,1,0.0
BE,115,16,16,T0,original_reference_correct,1,0.0
BE,115,16,16,T0,semantic,1,0.0
BE,115,16,16,U,joint_on_correct,12,0.0
BE,115,16,16,U,original_reference_correct,12,0.0
BE,115,16,16,U,semantic,12,0.0
BE,115,16,16,cross_family_confirmation,joint_on_correct,2,0.0
BE,115,16,16,cross_family_confirmation,original_reference_correct,2,0.0
BE,115,16,16,cross_family_confirmation,semantic,2,0.0
BE,115,16,16,source_style_confirmation,joint_on_correct,2,0.0
BE,115,16,16,source_style_confirmation,original_reference_correct,2,0.0
BE,115,16,16,source_style_confirmation,semantic,2,0.0
BE,116,16,16,H,joint_on_correct,1,0.0
BE,116,16,16,H,original_reference_correct,1,0.0
BE,116,16,16,H,semantic,1,0.0
BE,116,16,16,T0,joint_on_correct,1,0.0
BE,116,16,16,T0,original_reference_correct,1,0.0
BE,116,16,16,T0,semantic,1,0.0
BE,116,16,16,U,joint_on_correct,12,0.0
BE,116,16,16,U,original_reference_correct,12,0.0
BE,116,16,16,U,semantic,12,0.0
BE,116,16,16,cross_family_confirmation,joint_on_correct,2,0.0
BE,116,16,16,cross_family_confirmation,original_reference_correct,2,0.0
BE,116,16,16,cross_family_confirmation,semantic,2,0.0
BE,116,16,16,source_style_confirmation,joint_on_correct,2,0.0
BE,116,16,16,source_style_confirmation,original_reference_correct,2,0.0
BE,116,16,16,source_style_confirmation,semantic,2,0.0
S0,101,1,16,H,joint_on_correct,2,1.0
S0,101,1,16,H,original_reference_correct,2,1.0
S0,101,1,16,H,semantic,2,1.0
S0,101,1,16,T0,joint_on_correct,1,0.0
S0,101,1,16,T0,original_reference_correct,1,0.0
S0,101,1,16,T0,semantic,1,0.0
S0,101,1,16,U,joint_on_correct,12,-0.16666666666666666
S0,101,1,16,U,original_reference_correct,12,0.0
S0,101,1,16,U,semantic,12,0.0
S0,101,1,16,cross_family_confirmation,joint_on_correct,2,0.0
S0,101,1,16,cross_family_confirmation,original_reference_correct,2,0.0
S0,101,1,16,cross_family_confirmation,semantic,2,0.0
S0,101,1,16,source_style_confirmation,joint_on_correct,2,0.0
S0,101,1,16,source_style_confirmation,original_reference_correct,2,0.0
S0,101,1,16,source_style_confirmation,semantic,2,0.0
S0,102,4,16,H,joint_on_correct,1,0.0
S0,102,4,16,H,original_reference_correct,1,0.0
S0,102,4,16,H,semantic,1,0.0
S0,102,4,16,T0,joint_on_correct,1,0.0
S0,102,4,16,T0,original_reference_correct,1,0.0
S0,102,4,16,T0,semantic,1,0.0
S0,102,4,16,U,joint_on_correct,13,-0.15384615384615385
S0,102,4,16,U,original_reference_correct,13,-0.15384615384615385
S0,102,4,16,U,semantic,13,-0.15384615384615385
S0,102,4,16,cross_family_confirmation,joint_on_correct,2,0.0
S0,102,4,16,cross_family_confirmation,original_reference_correct,2,0.0
S0,102,4,16,cross_family_confirmation,semantic,2,0.0
S0,102,4,16,source_style_confirmation,joint_on_correct,2,0.0
S0,102,4,16,source_style_confirmation,original_reference_correct,2,0.0
S0,102,4,16,source_style_confirmation,semantic,2,0.0
S0,103,4,16,H,joint_on_correct,1,0.0
S0,103,4,16,H,original_reference_correct,1,0.0
S0,103,4,16,H,semantic,1,0.0
S0,103,4,16,T0,joint_on_correct,1,0.0
S0,103,4,16,T0,original_reference_correct,1,0.0
S0,103,4,16,T0,semantic,1,0.0
S0,103,4,16,U,joint_on_correct,13,0.0
S0,103,4,16,U,original_reference_correct,13,0.07692307692307693
S0,103,4,16,U,semantic,13,0.07692307692307693
S0,103,4,16,cross_family_confirmation,joint_on_correct,2,0.0
S0,103,4,16,cross_family_confirmation,original_reference_correct,2,0.0
S0,103,4,16,cross_family_confirmation,semantic,2,0.0
S0,103,4,16,source_style_confirmation,joint_on_correct,2,0.0
S0,103,4,16,source_style_confirmation,original_reference_correct,2,0.0
S0,103,4,16,source_style_confirmation,semantic,2,0.0
S0,104,4,16,H,joint_on_correct,2,0.5
S0,104,4,16,H,original_reference_correct,2,0.5
S0,104,4,16,H,semantic,2,0.5
S0,104,4,16,T0,joint_on_correct,1,0.0
S0,104,4,16,T0,original_reference_correct,1,0.0
S0,104,4,16,T0,semantic,1,0.0
S0,104,4,16,U,joint_on_correct,12,0.0
S0,104,4,16,U,original_reference_correct,12,-0.16666666666666666
S0,104,4,16,U,semantic,12,-0.16666666666666666
S0,104,4,16,cross_family_confirmation,joint_on_correct,2,0.0
S0,104,4,16,cross_family_confirmation,original_reference_correct,2,0.0
S0,104,4,16,cross_family_confirmation,semantic,2,0.0
S0,104,4,16,source_style_confirmation,joint_on_correct,2,0.0
S0,104,4,16,source_style_confirmation,original_reference_correct,2,0.0
S0,104,4,16,source_style_confirmation,semantic,2,0.0
S0,105,8,16,H,joint_on_correct,2,-0.5
S0,105,8,16,H,original_reference_correct,2,-0.5
S0,105,8,16,H,semantic,2,-0.5
S0,105,8,16,T0,joint_on_correct,1,0.0
S0,105,8,16,T0,original_reference_correct,1,0.0
S0,105,8,16,T0,semantic,1,0.0
S0,105,8,16,U,joint_on_correct,12,0.08333333333333333
S0,105,8,16,U,original_reference_correct,12,0.08333333333333333
S0,105,8,16,U,semantic,12,0.08333333333333333
S0,105,8,16,cross_family_confirmation,joint_on_correct,2,0.0
S0,105,8,16,cross_family_confirmation,original_reference_correct,2,0.0
S0,105,8,16,cross_family_confirmation,semantic,2,0.0
S0,105,8,16,source_style_confirmation,joint_on_correct,2,0.0
S0,105,8,16,source_style_confirmation,original_reference_correct,2,0.0
S0,105,8,16,source_style_confirmation,semantic,2,0.0
S0,106,8,16,H,joint_on_correct,2,-0.5
S0,106,8,16,H,original_reference_correct,2,-0.5
S0,106,8,16,H,semantic,2,-0.5
S0,106,8,16,T0,joint_on_correct,1,0.0
S0,106,8,16,T0,original_reference_correct,1,0.0
S0,106,8,16,T0,semantic,1,0.0
S0,106,8,16,U,joint_on_correct,12,0.0
S0,106,8,16,U,original_reference_correct,12,-0.08333333333333333
S0,106,8,16,U,semantic,12,-0.08333333333333333
S0,106,8,16,cross_family_confirmation,joint_on_correct,2,0.0
S0,106,8,16,cross_family_confirmation,original_reference_correct,2,0.0
S0,106,8,16,cross_family_confirmation,semantic,2,0.0
S0,106,8,16,source_style_confirmation,joint_on_correct,2,0.0
S0,106,8,16,source_style_confirmation,original_reference_correct,2,0.0
S0,106,8,16,source_style_confirmation,semantic,2,0.0
S0,107,8,16,H,joint_on_correct,1,1.0
S0,107,8,16,H,original_reference_correct,1,1.0
S0,107,8,16,H,semantic,1,1.0
S0,107,8,16,T0,joint_on_correct,1,0.0
S0,107,8,16,T0,original_reference_correct,1,0.0
S0,107,8,16,T0,semantic,1,0.0
S0,107,8,16,U,joint_on_correct,13,-0.07692307692307693
S0,107,8,16,U,original_reference_correct,13,-0.23076923076923078
S0,107,8,16,U,semantic,13,-0.23076923076923078
S0,107,8,16,cross_family_confirmation,joint_on_correct,2,0.0
S0,107,8,16,cross_family_confirmation,original_reference_correct,2,0.0
S0,107,8,16,cross_family_confirmation,semantic,2,0.0
S0,107,8,16,source_style_confirmation,joint_on_correct,2,0.0
S0,107,8,16,source_style_confirmation,original_reference_correct,2,0.0
S0,107,8,16,source_style_confirmation,semantic,2,0.0
S0,108,8,16,H,joint_on_correct,2,-0.5
S0,108,8,16,H,original_reference_correct,2,-0.5
S0,108,8,16,H,semantic,2,-0.5
S0,108,8,16,T0,joint_on_correct,1,0.0
S0,108,8,16,T0,original_reference_correct,1,0.0
S0,108,8,16,T0,semantic,1,0.0
S0,108,8,16,U,joint_on_correct,12,0.0
S0,108,8,16,U,original_reference_correct,12,0.0
S0,108,8,16,U,semantic,12,0.0
S0,108,8,16,cross_family_confirmation,joint_on_correct,2,0.0
S0,108,8,16,cross_family_confirmation,original_reference_correct,2,0.0
S0,108,8,16,cross_family_confirmation,semantic,2,0.0
S0,108,8,16,source_style_confirmation,joint_on_correct,2,0.0
S0,108,8,16,source_style_confirmation,original_reference_correct,2,0.0
S0,108,8,16,source_style_confirmation,semantic,2,0.0
S0,109,16,16,H,joint_on_correct,1,0.0
S0,109,16,16,H,original_reference_correct,1,0.0
S0,109,16,16,H,semantic,1,0.0
S0,109,16,16,T0,joint_on_correct,1,0.0
S0,109,16,16,T0,original_reference_correct,1,0.0
S0,109,16,16,T0,semantic,1,0.0
S0,109,16,16,U,joint_on_correct,13,0.0
S0,109,16,16,U,original_reference_correct,13,0.0
S0,109,16,16,U,semantic,13,0.0
S0,109,16,16,cross_family_confirmation,joint_on_correct,2,0.0
S0,109,16,16,cross_family_confirmation,original_reference_correct,2,0.0
S0,109,16,16,cross_family_confirmation,semantic,2,0.0
S0,109,16,16,source_style_confirmation,joint_on_correct,2,0.0
S0,109,16,16,source_style_confirmation,original_reference_correct,2,0.0
S0,109,16,16,source_style_confirmation,semantic,2,0.0
S0,110,16,16,H,joint_on_correct,1,0.0
S0,110,16,16,H,original_reference_correct,1,0.0
S0,110,16,16,H,semantic,1,0.0
S0,110,16,16,T0,joint_on_correct,1,0.0
S0,110,16,16,T0,original_reference_correct,1,0.0
S0,110,16,16,T0,semantic,1,0.0
S0,110,16,16,U,joint_on_correct,13,0.0
S0,110,16,16,U,original_reference_correct,13,0.0
S0,110,16,16,U,semantic,13,0.0
S0,110,16,16,cross_family_confirmation,joint_on_correct,2,0.0
S0,110,16,16,cross_family_confirmation,original_reference_correct,2,0.0
S0,110,16,16,cross_family_confirmation,semantic,2,0.0
S0,110,16,16,source_style_confirmation,joint_on_correct,2,0.0
S0,110,16,16,source_style_confirmation,original_reference_correct,2,0.0
S0,110,16,16,source_style_confirmation,semantic,2,0.0
S0,111,16,16,H,joint_on_correct,1,0.0
S0,111,16,16,H,original_reference_correct,1,0.0
S0,111,16,16,H,semantic,1,0.0
S0,111,16,16,T0,joint_on_correct,1,0.0
S0,111,16,16,T0,original_reference_correct,1,0.0
S0,111,16,16,T0,semantic,1,0.0
S0,111,16,16,U,joint_on_correct,13,0.0
S0,111,16,16,U,original_reference_correct,13,0.0
S0,111,16,16,U,semantic,13,0.0
S0,111,16,16,cross_family_confirmation,joint_on_correct,2,0.0
S0,111,16,16,cross_family_confirmation,original_reference_correct,2,0.0
S0,111,16,16,cross_family_confirmation,semantic,2,0.0
S0,111,16,16,source_style_confirmation,joint_on_correct,2,0.0
S0,111,16,16,source_style_confirmation,original_reference_correct,2,0.0
S0,111,16,16,source_style_confirmation,semantic,2,0.0
S0,112,16,16,H,joint_on_correct,1,0.0
S0,112,16,16,H,original_reference_correct,1,0.0
S0,112,16,16,H,semantic,1,0.0
S0,112,16,16,T0,joint_on_correct,1,0.0
S0,112,16,16,T0,original_reference_correct,1,0.0
S0,112,16,16,T0,semantic,1,0.0
S0,112,16,16,U,joint_on_correct,13,0.0
S0,112,16,16,U,original_reference_correct,13,0.0
S0,112,16,16,U,semantic,13,0.0
S0,112,16,16,cross_family_confirmation,joint_on_correct,2,0.0
S0,112,16,16,cross_family_confirmation,original_reference_correct,2,0.0
S0,112,16,16,cross_family_confirmation,semantic,2,0.0
S0,112,16,16,source_style_confirmation,joint_on_correct,2,0.0
S0,112,16,16,source_style_confirmation,original_reference_correct,2,0.0
S0,112,16,16,source_style_confirmation,semantic,2,0.0
S0,113,16,16,H,joint_on_correct,1,0.0
S0,113,16,16,H,original_reference_correct,1,0.0
S0,113,16,16,H,semantic,1,0.0
S0,113,16,16,T0,joint_on_correct,1,0.0
S0,113,16,16,T0,original_reference_correct,1,0.0
S0,113,16,16,T0,semantic,1,0.0
S0,113,16,16,U,joint_on_correct,13,0.0
S0,113,16,16,U,original_reference_correct,13,0.0
S0,113,16,16,U,semantic,13,0.0
S0,113,16,16,cross_family_confirmation,joint_on_correct,2,0.0
S0,113,16,16,cross_family_confirmation,original_reference_correct,2,0.0
S0,113,16,16,cross_family_confirmation,semantic,2,0.0
S0,113,16,16,source_style_confirmation,joint_on_correct,2,0.0
S0,113,16,16,source_style_confirmation,original_reference_correct,2,0.0
S0,113,16,16,source_style_confirmation,semantic,2,0.0
S0,114,16,16,T0,joint_on_correct,1,0.0
S0,114,16,16,T0,original_reference_correct,1,0.0
S0,114,16,16,T0,semantic,1,0.0
S0,114,16,16,U,joint_on_correct,14,0.0
S0,114,16,16,U,original_reference_correct,14,0.0
S0,114,16,16,U,semantic,14,0.0
S0,114,16,16,cross_family_confirmation,joint_on_correct,2,0.0
S0,114,16,16,cross_family_confirmation,original_reference_correct,2,0.0
S0,114,16,16,cross_family_confirmation,semantic,2,0.0
S0,114,16,16,source_style_confirmation,joint_on_correct,2,0.0
S0,114,16,16,source_style_confirmation,original_reference_correct,2,0.0
S0,114,16,16,source_style_confirmation,semantic,2,0.0
S0,115,16,16,H,joint_on_correct,1,0.0
S0,115,16,16,H,original_reference_correct,1,0.0
S0,115,16,16,H,semantic,1,0.0
S0,115,16,16,T0,joint_on_correct,1,0.0
S0,115,16,16,T0,original_reference_correct,1,0.0
S0,115,16,16,T0,semantic,1,0.0
S0,115,16,16,U,joint_on_correct,12,0.0
S0,115,16,16,U,original_reference_correct,12,0.0
S0,115,16,16,U,semantic,12,0.0
S0,115,16,16,cross_family_confirmation,joint_on_correct,2,0.0
S0,115,16,16,cross_family_confirmation,original_reference_correct,2,0.0
S0,115,16,16,cross_family_confirmation,semantic,2,0.0
S0,115,16,16,source_style_confirmation,joint_on_correct,2,0.0
S0,115,16,16,source_style_confirmation,original_reference_correct,2,0.0
S0,115,16,16,source_style_confirmation,semantic,2,0.0
S0,116,16,16,H,joint_on_correct,1,0.0
S0,116,16,16,H,original_reference_correct,1,0.0
S0,116,16,16,H,semantic,1,0.0
S0,116,16,16,T0,joint_on_correct,1,0.0
S0,116,16,16,T0,original_reference_correct,1,0.0
S0,116,16,16,T0,semantic,1,0.0
S0,116,16,16,U,joint_on_correct,12,0.0
S0,116,16,16,U,original_reference_correct,12,0.0
S0,116,16,16,U,semantic,12,0.0
S0,116,16,16,cross_family_confirmation,joint_on_correct,2,0.0
S0,116,16,16,cross_family_confirmation,original_reference_correct,2,0.0
S0,116,16,16,cross_family_confirmation,semantic,2,0.0
S0,116,16,16,source_style_confirmation,joint_on_correct,2,0.0
S0,116,16,16,source_style_confirmation,original_reference_correct,2,0.0
S0,116,16,16,source_style_confirmation,semantic,2,0.0
S1,101,1,16,H,joint_on_correct,2,0.0
S1,101,1,16,H,original_reference_correct,2,0.0
S1,101,1,16,H,semantic,2,0.0
S1,101,1,16,T0,joint_on_correct,1,0.0
S1,101,1,16,T0,original_reference_correct,1,0.0
S1,101,1,16,T0,semantic,1,0.0
S1,101,1,16,U,joint_on_correct,12,-0.25
S1,101,1,16,U,original_reference_correct,12,-0.08333333333333333
S1,101,1,16,U,semantic,12,-0.08333333333333333
S1,101,1,16,cross_family_confirmation,joint_on_correct,2,0.0
S1,101,1,16,cross_family_confirmation,original_reference_correct,2,0.0
S1,101,1,16,cross_family_confirmation,semantic,2,0.0
S1,101,1,16,source_style_confirmation,joint_on_correct,2,0.0
S1,101,1,16,source_style_confirmation,original_reference_correct,2,0.0
S1,101,1,16,source_style_confirmation,semantic,2,0.0
S1,102,4,16,H,joint_on_correct,1,0.0
S1,102,4,16,H,original_reference_correct,1,0.0
S1,102,4,16,H,semantic,1,0.0
S1,102,4,16,T0,joint_on_correct,1,0.0
S1,102,4,16,T0,original_reference_correct,1,0.0
S1,102,4,16,T0,semantic,1,0.0
S1,102,4,16,U,joint_on_correct,13,0.07692307692307693
S1,102,4,16,U,original_reference_correct,13,0.07692307692307693
S1,102,4,16,U,semantic,13,0.07692307692307693
S1,102,4,16,cross_family_confirmation,joint_on_correct,2,0.0
S1,102,4,16,cross_family_confirmation,original_reference_correct,2,0.0
S1,102,4,16,cross_family_confirmation,semantic,2,0.0
S1,102,4,16,source_style_confirmation,joint_on_correct,2,0.0
S1,102,4,16,source_style_confirmation,original_reference_correct,2,0.0
S1,102,4,16,source_style_confirmation,semantic,2,0.0
S1,103,4,16,H,joint_on_correct,1,0.0
S1,103,4,16,H,original_reference_correct,1,0.0
S1,103,4,16,H,semantic,1,0.0
S1,103,4,16,T0,joint_on_correct,1,0.0
S1,103,4,16,T0,original_reference_correct,1,0.0
S1,103,4,16,T0,semantic,1,0.0
